Date,Moderate active minutes
10/30/20 00:00:00,0
10/31/20 00:00:00,8
11/01/2020 00:00,0
11/02/2020 00:00,14
11/03/2020 00:00,0
11/04/2020 00:00,36
11/05/2020 00:00,0
11/06/2020 00:00,0
11/07/2020 00:00,9
11/08/2020 00:00,0
11/09/2020 00:00,0
11/10/2020 00:00,7
11/11/2020 00:00,26
11/12/2020 00:00,16
11/13/20 00:00:00,0
11/14/20 00:00:00,0
11/15/20 00:00:00,0
11/16/20 00:00:00,51
11/17/20 00:00:00,23
11/18/20 00:00:00,0
11/19/20 00:00:00,0
11/20/20 00:00:00,6
11/21/20 00:00:00,3
11/22/20 00:00:00,0
11/23/20 00:00:00,12
11/24/20 00:00:00,7
11/25/20 00:00:00,9
11/26/20 00:00:00,0
11/27/20 00:00:00,0
11/28/20 00:00:00,27
09/30/20 00:00:00,52
10/01/2020 00:00,21
10/02/2020 00:00,4
10/03/2020 00:00,13
10/04/2020 00:00,0
10/05/2020 00:00,0
10/06/2020 00:00,14
10/07/2020 00:00,0
10/08/2020 00:00,9
10/09/2020 00:00,0
10/10/2020 00:00,0
10/11/2020 00:00,0
10/12/2020 00:00,8
10/13/20 00:00:00,0
10/14/20 00:00:00,8
10/15/20 00:00:00,10
10/16/20 00:00:00,0
10/17/20 00:00:00,0
10/18/20 00:00:00,0
10/19/20 00:00:00,0
10/20/20 00:00:00,0
10/21/20 00:00:00,0
10/22/20 00:00:00,28
10/23/20 00:00:00,0
10/24/20 00:00:00,0
10/25/20 00:00:00,0
10/26/20 00:00:00,0
10/27/20 00:00:00,8
10/28/20 00:00:00,0
10/29/20 00:00:00,0
11/29/20 00:00:00,0
11/30/20 00:00:00,0
12/01/2020 00:00,0
12/02/2020 00:00,6
12/03/2020 00:00,5
12/04/2020 00:00,42
12/05/2020 00:00,0
12/06/2020 00:00,13
12/07/2020 00:00,6
12/08/2020 00:00,32
12/09/2020 00:00,0
12/10/2020 00:00,14
12/11/2020 00:00,9
12/12/2020 00:00,0
12/13/20 00:00:00,0
12/14/20 00:00:00,7
12/15/20 00:00:00,7
12/16/20 00:00:00,19
12/17/20 00:00:00,15
12/18/20 00:00:00,0
12/19/20 00:00:00,0
12/20/20 00:00:00,0
12/21/20 00:00:00,0
12/22/20 00:00:00,0
12/23/20 00:00:00,7
12/24/20 00:00:00,5
12/25/20 00:00:00,0
12/26/20 00:00:00,0
12/27/20 00:00:00,0
12/28/20 00:00:00,0
01/28/21 00:00:00,70
01/29/21 00:00:00,42
01/30/21 00:00:00,24
01/31/21 00:00:00,0
02/01/2021 00:00,9
02/02/2021 00:00,0
02/03/2021 00:00,0
02/04/2021 00:00,7
02/05/2021 00:00,0
02/06/2021 00:00,0
02/07/2021 00:00,0
02/08/2021 00:00,0
02/09/2021 00:00,0
02/10/2021 00:00,0
02/11/2021 00:00,31
02/12/2021 00:00,0
02/13/21 00:00:00,0
02/14/21 00:00:00,0
02/15/21 00:00:00,0
02/16/21 00:00:00,0
02/17/21 00:00:00,0
02/18/21 00:00:00,0
02/19/21 00:00:00,0
02/20/21 00:00:00,17
02/21/21 00:00:00,0
02/22/21 00:00:00,5
02/23/21 00:00:00,0
02/24/21 00:00:00,7
02/25/21 00:00:00,38
02/26/21 00:00:00,0
12/29/20 00:00:00,9
12/30/20 00:00:00,40
12/31/20 00:00:00,0
01/01/2021 00:00,28
01/02/2021 00:00,16
01/03/2021 00:00,0
01/04/2021 00:00,0
01/05/2021 00:00,0
01/06/2021 00:00,0
01/07/2021 00:00,22
01/08/2021 00:00,5
01/09/2021 00:00,22
01/10/2021 00:00,0
01/11/2021 00:00,23
01/12/2021 00:00,13
01/13/21 00:00:00,0
01/14/21 00:00:00,0
01/15/21 00:00:00,17
01/16/21 00:00:00,0
01/17/21 00:00:00,15
01/18/21 00:00:00,0
01/19/21 00:00:00,4
01/20/21 00:00:00,49
01/21/21 00:00:00,0
01/22/21 00:00:00,0
01/23/21 00:00:00,0
01/24/21 00:00:00,0
01/25/21 00:00:00,0
01/26/21 00:00:00,16
01/27/21 00:00:00,11
